musica,artista,album,duracao_min,popularidade,uri
Dark Necessities,Red Hot Chili Peppers,The Getaway,5.03,80,spotify:track:2oaK4JLVnmRGIO9ytBE1bt
Luxemburgo,Plutonio,Carta de Alforria,3.53,60,spotify:track:1yjYtmNf1DpfQMjBpVy5rg
Pagode,Wet Bed Gang,Filhos do Rossi,3.62,40,spotify:track:0NTgh92IHKjOtYgLfKAz0D
HONEY (ARE U COMING?),Måneskin,RUSH!,2.79,71,spotify:track:5UHHuxxYFnuE5KBbpl4Hzu
Amor De Ganga,Miguel Luz,Ganga Com Ganga,3.45,54,spotify:track:7IPUNxs3vUvunfEFxRTGzS
Como Seria,Dino d'Santiago,Mundu Nôbu,3.05,40,spotify:track:2wVtjY3hYUNo6hru52yZEM
Pôr do Sol,Vizinhos,Pôr do Sol,2.68,64,spotify:track:2yMTUaAv55qoTD0JPLodIQ
Space Cadet (feat. Gunna),Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),3.39,80,spotify:track:1fewSx2d5KIZ04wsooEBOz
How You Remind Me,Nickelback,Silver Side Up,3.73,88,spotify:track:0gmbgwZ8iqyMPmXefof8Yf
Obeah Me,Notnice,Street Vybz 2.0 (750ML),2.47,47,spotify:track:1YSz0j9HvFHu1HNxlAvjKR
Nice To Meet You,Myles Smith,Nice To Meet You (Mistletoe Version),2.93,84,spotify:track:6eWAWHm0cuOaPGDWhoLJ7s
Morto-Vivo,EU.CLIDES,Morto-Vivo,2.62,25,spotify:track:1sLBUupNhMJB3wKm0JgA8T
All My Life (feat. J. Cole),Lil Durk,Almost Healed,3.73,69,spotify:track:6T7FXSuXykeGktMLGp8WgE
Pessoas Normais,Miguel Luz,Ganga Com Ganga,3.01,51,spotify:track:3n0xGh2PjRrOOfc8IkpnGb
Heaven,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),4.06,85,spotify:track:7Ewz6bJ97vUqk5HdkvguFQ
10 Freaky Girls (with 21 Savage),Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe),3.47,76,spotify:track:0AluA5RNsa4Cx6XRhf2hWZ
Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,The Bigger Artist,3.49,78,spotify:track:1f5cbQtDrykjarZVrShaDI
Every Breaking Wave,U2,Songs Of Innocence (Deluxe),4.2,62,spotify:track:4z5eLUR8oCbRywMw1ytNol
Todos Olham,Wet Bed Gang,Filhos do Rossi,3.8,32,spotify:track:1pSGo8o9ZwmtmPvZy9uwgE
Numb / Encore,JAY-Z,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,3.43,79,spotify:track:5sNESr6pQfIhL3krM8CtZn
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,HEROES & VILLAINS,3.33,85,spotify:track:2Hh3ETdQKrmSI3QS0hme7g
Laugh Now Cry Later (feat. Lil Durk),Drake,Laugh Now Cry Later (feat. Lil Durk),4.36,78,spotify:track:2SAqBLGA283SUiwJ3xOUVI
CorDaPele,Slow J,Afro Fado,2.98,53,spotify:track:2Vhdvxsjs24nQLaUn6oWcp
Doja,Central Cee,Doja,1.62,81,spotify:track:3LtpKP5abr2qqjunvjlX5i
Run,OneRepublic,Human (Deluxe),2.8,76,spotify:track:6KL88T4Ma4ABXqzgUoEwkd
MOXXXPIRII,Wet Bed Gang,MOXXXPIRII,3.06,58,spotify:track:3W1L721fuS3pRLrt973Ewc
Champs-Élysées (feat. Deejay Telio & Julinho KSD),Mizzy Miles,FIM DO NADA,3.35,50,spotify:track:5Q6EJ1mB6WlhN5wkEOydRx
Livin' On A Prayer,Bon Jovi,Slippery When Wet (Deluxe Edition),4.17,81,spotify:track:0ee1DiZF94NSqqpG0XHUzH
